date	seed_query	candidate	locale	gl	source_batch	related_or_paa	serp_notes	ig_opportunity	absorb_slug	feasibility	verdict	notes	competition_tier	gap_notes
2026-09-01	text compare	compare two text files	en	us	keywords/text-diff/2026-09-01-compare-text-scene-serp	also: compare text files online; txt compare	same paste-diff tools + WinMerge	file page not paste chip	compare-two-text-files-online	yes	absorb	moved off text-diff; dedicated file slug	head	same job as compare two text files online
2026-09-01	text compare	compare two word documents	en	us	keywords/text-diff/2026-09-01-compare-text-scene-serp	also: word compare online	Microsoft+Draftable	docx extract	compare-two-word-documents-for-differences	yes	absorb	H1 uses for-differences long-tail	mid_covered	user named topic
2026-09-01	text compare	json diff checker	en	us	keywords/text-diff/2026-09-01-compare-text-scene-serp	also: json compare	semantic JSON tools	key-order ignore	json-diff-checker-online	yes	absorb	not H1; FAQ on json-diff-checker-online	head	head term
2026-09-01	text compare	excel compare online	en	us	keywords/text-diff/2026-09-01-compare-text-scene-serp	also: excel compare files	diffsheets packed	grid compare	excel-compare-files	yes	absorb	online in desc not H1	head	H1=excel compare files
2026-09-01	text compare	compare and contrast	en	us	keywords/text-diff/2026-09-01-compare-text-scene-slugs	Planner 1k-10k education cluster	essay/table/chart SERP not a diff tool		no	drop	Compare Contrast / chart ad groups	head	school writing intent	
2026-09-01	prompt builder	ai prompt generator	en	us	keywords/prompt-builder/2026-09-01-prompt-builder-keyword-planner	related: prompt generator ai; free ai prompt generator	Google SERP: SurePrompts/PromptPrepare/Feedough LLM generators dense	FAQ boundary not-LLM; do not H1		no	drop	head seed only; no week attack	head	serp=2026-09-01-prompt-builder-serp|confirmed head
2026-09-01	prompt builder	prompt maker	en	us	keywords/prompt-builder/2026-09-01-prompt-builder-keyword-planner	related: ai prompt maker; prompt creator	synonym head cluster; sibling SERP confirmed	FAQ also-called maker/creator	prompt-template-builder	yes	absorb	do not change H1 to maker	head	head|serp sibling batch
2026-09-01	prompt builder	ai prompt builder	en	us	keywords/prompt-builder/2026-09-01-prompt-builder-keyword-planner	related: ai prompt templates; create your own prompt	Google SERP: promptbuilder.cc/BuildPrompts titles dense	desc/FAQ absorb; keep slug	prompt-template-builder	yes	absorb	S0 primary secondary keyword; lexical ai+prompt+builder; no H1 change	head	serp confirmed|no title_gap|scene-revision-2026-09-01
2026-09-01	prompt builder	ai prompt templates	en	us	keywords/prompt-builder/2026-09-01-prompt-builder-keyword-planner	related: ai prompt template; free ai prompt templates	template wording matches product	FAQ/Use cases	prompt-template-builder	yes	absorb	template chip language	head	same job A|serp sibling
2026-09-01	prompt builder	create your own prompt	en	us	keywords/prompt-builder/2026-09-01-prompt-builder-keyword-planner	related: create ai prompts; create prompts ai	scene sentence for draft→structure	Use cases	prompt-template-builder	yes	absorb		head	job A|serp sibling
2026-09-01	prompt builder	text to prompt generator	en	us	keywords/prompt-builder/2026-09-01-prompt-builder-keyword-planner	related: text prompt generator	Google SERP: LabGen/EzyToolbox LLM text→prompt	Use cases + How boundary	prompt-template-builder	yes	absorb	not LLM rewrite; free-text→fields only	head	serp confirmed|job F
2026-09-01	prompt builder	copilot prompt builder	en	us	keywords/prompt-builder/2026-09-01-prompt-builder-keyword-planner	related: chat prompt generator	same Role/Task structure	Use case chip	prompt-template-builder	yes	absorb	no extra URL	head	job G|serp sibling
2026-09-01	prompt builder	midjourney prompt builder	en	us	keywords/prompt-builder/2026-09-01-prompt-builder-keyword-planner	related: sketch prompt generator	Google SERP: SurePrompts/MidjourneyPro parameter builders			no	defer	scene S1 image; FAQ now; own URL only if user names; must keep prompt+builder	head	serp confirmed|job C|scene-revision-2026-09-01
2026-09-01	prompt builder	random prompt generator	en	us	keywords/prompt-builder/2026-09-01-prompt-builder-keyword-planner	related: dialogue prompt generator; character prompts generator	Google SERP: Fairy Fox/RandomStuffGenerator randomizers			no	defer	scene S3 random; prefer merge with S2 writing URL; must keep prompt+generator	head	serp confirmed|job E|scene-revision-2026-09-01
2026-09-01	prompt builder	ai prompt design services	en	us	keywords/prompt-builder/2026-09-01-prompt-builder-keyword-planner	Prompt Service ad group	agency/services intent		no	drop	entire Prompt Service group	head	commercial services	serp sibling
2026-09-01	prompt builder	prompt template builder	en	us	keywords/prompt-builder/2026-09-01-prompt-builder-serp	related: ai prompt builder; ai prompt templates	Google SERP: NewPrompt/ToolboxKit/DevToolbox titles already Prompt Template Builder	Role/Task/Constraints/Output + local vs {{var}} fillers	prompt-template-builder	yes	absorb	keep H1; no title_gap_fallback; IG harvest	mid_covered	serp=2026-09-01-prompt-builder-serp|G not triggered
2026-09-01	prompt builder	website prompt generator	en	us	keywords/prompt-builder/2026-09-01-prompt-builder-keyword-planner	related: text to prompt generator	Planner-only scene S6; no dedicated SERP	Use case on structured page	prompt-template-builder	yes	absorb	scene S6 website; naming has prompt+generator	head	scene-from-planner|lexical=prompt+generator
2026-09-01	prompt builder	writing prompt generator	en	us	keywords/prompt-builder/2026-09-01-prompt-builder-keyword-planner	related: dialogue prompt generator; character prompts generator; script prompt generator; scenario prompt generator	cluster S2 from Planner; random may merge S3	FAQ/Use case now; optional one URL later		yes	defer	scene S2 writing; primary must be prompt+generator/builder; no week build	head	scene-from-planner|lexical-ok|serp sibling head
2026-09-01	prompt builder	sketch prompt generator	en	us	keywords/prompt-builder/2026-09-01-prompt-builder-keyword-planner	related: midjourney prompt builder	S1 image cluster	FAQ with midjourney		yes	defer	scene S1 image; naming prompt+generator	head	scene-from-planner|with midjourney
